ms_zoning,lot_area,condition_1,overall_qual,overall_cond,year_built,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_unf_sf,total_bsmt_sf,central_air,1st_flr_sf,gr_liv_area,full_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,fireplaces,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,yr_sold,age,quality,remod,bsmt_rating,bsmt_sf,saleprice
1,20062,1,7,7,1977,2001,4,4,4,3,328.0,1420.0,1,1483,1483,1,1,1,3,2,2.0,690.0,3,3,1,2010,33,784,9,12,1092.0,270000
2,7308,3,5,5,1920,1950,2,2,3,3,576.0,936.0,0,960,1740,1,2,1,5,1,1.0,225.0,2,2,0,2008,88,100,58,9,360.0,122250
1,8750,1,5,5,1955,1955,3,3,3,3,727.0,1382.0,1,1382,1382,1,3,1,4,0,1.0,350.0,3,3,1,2009,54,225,54,9,655.0,153000
1,4000,1,7,8,1930,1995,3,3,4,3,285.0,531.0,1,567,1098,1,2,1,3,1,1.0,216.0,3,3,1,2007,77,504,12,12,246.0,148500
2,3363,1,7,5,2004,2004,4,3,4,3,976.0,976.0,1,976,1708,2,3,1,4,0,2.0,380.0,3,3,1,2006,2,420,2,12,0.0,130000
1,13615,1,9,5,2006,2006,5,3,5,3,1802.0,1802.0,1,1802,1802,2,3,1,5,1,3.0,843.0,3,3,1,2007,1,675,1,15,0.0,372000
1,3013,1,7,5,2005,2005,4,3,4,3,1346.0,1362.0,1,1506,1506,2,2,1,4,1,2.0,440.0,3,3,1,2006,1,420,1,12,16.0,213490
1,17485,1,7,5,2009,2010,4,3,4,3,162.0,1508.0,1,1508,1508,1,1,1,4,2,2.0,572.0,3,3,1,2010,1,420,0,12,1346.0,308030
1,23730,1,7,5,1996,1997,4,3,5,3,1140.0,1840.0,1,2032,2032,3,3,1,4,0,3.0,786.0,3,3,1,2008,12,420,11,15,700.0,300000
1,8910,1,6,6,1959,1959,3,3,3,3,0.0,655.0,1,1194,1194,1,3,1,3,1,2.0,539.0,3,3,1,2006,47,324,47,9,655.0,159500
2,2522,1,7,5,2004,2004,4,3,4,3,970.0,970.0,1,970,1709,2,3,1,4,0,2.0,380.0,3,3,1,2006,2,420,2,12,0.0,137500
1,8688,1,7,5,2005,2005,4,3,4,3,1616.0,1616.0,1,1616,1616,2,3,1,4,0,3.0,834.0,3,3,1,2006,1,420,1,12,0.0,232000
2,6291,9,6,6,1930,1950,4,4,3,3,768.0,768.0,1,768,768,1,1,1,3,0,2.0,440.0,3,3,0,2008,78,576,58,9,0.0,93850
1,17529,1,5,5,1924,1950,3,3,3,3,872.0,872.0,0,872,872,1,2,1,2,1,1.0,322.0,2,2,0,2006,82,225,56,9,0.0,105000
2,6324,2,4,6,1927,1950,3,3,3,3,520.0,520.0,0,520,520,1,1,1,2,0,1.0,240.0,2,3,1,2008,81,216,58,9,0.0,68500
1,11600,2,5,5,1960,1960,3,3,3,3,662.0,1105.0,1,1105,2274,2,5,2,3,0,2.0,480.0,3,3,1,2010,50,225,50,9,443.0,154300
2,4571,1,5,7,1910,1950,3,3,3,3,448.0,616.0,1,616,1232,1,3,1,3,0,2.0,480.0,2,2,1,2007,97,315,57,9,168.0,114000
1,17423,1,9,5,2008,2009,5,3,5,3,312.0,2216.0,1,2234,2234,2,1,1,5,1,3.0,1166.0,3,3,1,2009,1,675,0,15,1904.0,501837
2,12665,3,5,8,1915,1950,3,3,3,3,876.0,876.0,1,876,1416,1,4,1,3,1,3.0,720.0,3,3,1,2008,93,360,58,9,0.0,153900
1,9000,1,4,7,1971,2006,3,4,3,3,624.0,864.0,1,864,864,1,3,1,3,0,2.0,576.0,3,3,1,2009,38,336,3,9,240.0,130000
2,4500,1,6,5,1997,1997,3,3,5,3,325.0,1189.0,1,1189,1189,2,2,1,3,0,2.0,392.0,3,3,1,2008,11,270,11,15,864.0,160500
1,6373,1,9,5,2006,2006,5,3,5,4,1251.0,1666.0,1,1666,1666,2,2,1,4,1,2.0,575.0,3,3,1,2006,0,675,0,20,415.0,310090
1,10083,1,7,5,2003,2003,4,3,4,3,343.0,1176.0,1,1200,1200,2,2,1,4,0,2.0,555.0,3,3,1,2009,6,420,6,12,833.0,184900
1,13300,1,5,7,1956,2000,3,3,4,3,551.0,928.0,1,928,928,1,2,1,3,0,1.0,252.0,3,3,1,2007,51,315,7,12,377.0,132000
1,9600,2,5,5,1969,1969,3,3,4,3,588.0,1288.0,1,1336,1336,2,3,1,3,1,2.0,502.0,3,3,1,2009,40,225,40,12,700.0,163000
3,3215,1,7,5,2004,2004,4,3,4,3,320.0,600.0,1,600,1200,2,2,1,4,0,2.0,480.0,3,3,1,2010,6,420,6,12,280.0,155000
1,11104,1,6,6,1969,1969,3,3,3,3,599.0,1427.0,1,1427,1427,2,4,1,3,0,2.0,516.0,3,3,1,2008,39,324,39,9,828.0,183000
1,15295,1,7,5,1996,2002,4,3,4,3,98.0,860.0,1,1212,1992,2,3,1,4,2,2.0,608.0,3,3,1,2007,11,420,5,12,762.0,211000
1,9109,6,7,5,1994,1994,4,3,4,3,122.0,754.0,1,754,1540,2,3,1,4,0,2.0,495.0,3,3,1,2009,15,420,15,12,632.0,184000
1,14112,1,5,7,1964,1964,3,3,3,3,138.0,1152.0,1,1152,1152,1,3,1,3,1,2.0,484.0,3,3,1,2010,46,315,46,9,1014.0,180500
3,3523,1,8,5,2006,2007,4,3,4,3,1081.0,1141.0,1,1151,1151,2,2,1,4,0,2.0,484.0,3,3,1,2007,1,480,0,12,60.0,166000
1,15312,1,6,5,1960,1960,3,3,3,3,550.0,1138.0,1,1138,1138,1,3,1,3,1,2.0,480.0,3,3,1,2009,49,270,49,9,588.0,148000
1,7450,1,5,5,1956,1956,3,3,3,3,250.0,894.0,1,1074,1074,1,2,1,4,1,2.0,396.0,3,3,1,2007,51,225,51,9,644.0,124000
1,7313,1,9,5,2005,2005,5,3,5,3,408.0,1561.0,1,1561,1561,2,2,1,5,1,2.0,556.0,3,3,1,2007,2,675,2,15,1153.0,277500
1,10019,1,8,5,1995,1995,4,3,4,3,815.0,1342.0,1,1358,2726,2,4,1,4,1,3.0,725.0,3,3,1,2006,11,480,11,12,527.0,350000
1,15401,1,9,5,2004,2004,5,3,5,3,547.0,1884.0,1,1884,1884,2,2,1,5,1,3.0,670.0,3,3,1,2008,4,675,4,15,1337.0,387000
1,16280,1,8,9,1976,2007,5,5,4,5,0.0,1426.0,1,1671,1671,3,3,1,5,1,2.0,550.0,3,3,1,2008,32,1800,1,20,1426.0,290000
1,12209,1,6,5,2001,2002,3,3,5,3,114.0,804.0,1,804,1961,2,3,1,4,1,2.0,560.0,3,3,1,2009,8,270,7,15,690.0,215000
1,13110,4,5,6,1972,1972,3,3,4,3,191.0,1153.0,1,1193,1193,2,2,1,3,0,2.0,501.0,3,3,1,2006,34,270,34,12,962.0,146500
3,2651,1,7,5,2000,2000,4,3,4,3,32.0,673.0,1,673,1382,2,3,1,4,0,2.0,490.0,3,3,1,2006,6,420,6,12,641.0,165000
2,8520,3,6,7,1916,1950,3,4,3,3,0.0,714.0,0,1664,2526,2,5,1,4,1,1.0,216.0,3,3,1,2007,91,504,57,9,714.0,136000
1,39384,1,6,6,1957,1957,3,3,4,3,595.0,1705.0,1,1390,1390,1,1,1,5,2,2.0,550.0,3,3,1,2006,49,324,49,12,1110.0,252000
1,2628,1,7,5,2003,2003,4,3,4,3,764.0,764.0,1,764,1626,2,2,1,4,0,2.0,474.0,3,3,1,2010,7,420,7,12,0.0,175500
2,6406,1,5,6,1939,1950,3,3,3,3,269.0,690.0,1,868,1558,1,3,1,3,1,2.0,400.0,3,3,1,2009,70,270,59,9,421.0,150000
1,12342,1,5,5,1960,1978,3,3,3,3,978.0,978.0,1,1422,1422,1,3,1,3,1,1.0,286.0,3,3,1,2007,47,225,29,9,0.0,139900
2,6240,1,5,7,1930,1992,3,3,3,3,1078.0,1078.0,1,1128,1573,2,3,1,3,1,2.0,360.0,3,3,2,2008,78,315,16,9,0.0,162900
1,10000,1,6,6,1962,1962,3,3,3,3,1116.0,1116.0,1,1116,1116,1,3,1,3,0,2.0,440.0,3,3,1,2010,48,324,48,9,0.0,160000
1,11088,1,6,5,1978,1998,3,3,3,3,308.0,1140.0,1,1707,1707,2,3,1,3,1,2.0,479.0,3,3,1,2009,31,270,11,9,832.0,184000
1,17755,1,5,4,1959,1959,3,3,3,3,1290.0,1466.0,1,1466,1466,1,3,1,2,2,2.0,528.0,3,3,1,2006,47,180,47,9,176.0,149900
3,4765,1,9,5,2000,2000,4,3,4,3,587.0,1614.0,1,1638,1638,2,2,1,5,1,2.0,495.0,3,3,1,2008,8,540,8,12,1027.0,300000
1,10532,1,5,3,1960,1960,3,3,3,3,0.0,988.0,1,1721,1721,2,3,1,3,2,2.0,626.0,3,3,1,2008,48,135,48,9,988.0,145000
1,15426,1,6,5,1997,1997,3,3,4,3,107.0,928.0,1,928,1764,2,3,1,4,0,2.0,470.0,3,3,1,2009,12,270,12,12,821.0,231500
1,8750,1,5,5,1956,1956,3,3,3,3,565.0,1202.0,1,1202,1202,1,3,1,3,0,1.0,304.0,3,3,1,2009,53,225,53,9,637.0,120000
1,9945,1,5,5,1961,1961,3,3,3,3,161.0,988.0,1,988,988,1,3,1,3,0,2.0,572.0,3,3,1,2007,46,225,46,9,827.0,128500
2,8960,3,5,6,1927,1950,3,3,3,3,1008.0,1008.0,1,1028,1028,1,2,1,3,1,2.0,360.0,3,3,1,2010,83,270,60,9,0.0,115000
2,3500,1,5,7,1947,1950,3,3,3,3,408.0,720.0,1,720,1284,1,2,1,3,0,1.0,240.0,3,3,1,2009,62,315,59,9,312.0,110000
1,24572,1,9,3,1977,1977,4,4,4,3,584.0,994.0,1,1599,2944,2,3,1,4,1,3.0,864.0,3,3,1,2008,31,432,31,12,410.0,150000
1,9056,1,8,5,2004,2004,4,3,5,4,707.0,707.0,1,707,1414,2,3,1,4,1,2.0,403.0,3,3,1,2006,2,480,2,20,0.0,178000
1,12320,1,7,7,1932,1990,3,3,3,3,637.0,637.0,1,959,1609,1,3,1,4,2,3.0,579.0,3,3,1,2006,74,441,16,9,0.0,199500
1,8238,1,6,5,1997,1998,3,3,3,3,113.0,813.0,1,813,1525,2,3,1,3,1,2.0,400.0,3,3,1,2006,9,270,8,9,700.0,183500
2,6000,1,5,5,1967,1967,2,3,4,3,367.0,624.0,1,1092,1656,1,3,1,3,1,1.0,288.0,3,3,1,2008,41,150,41,12,257.0,126000
1,2529,1,7,6,1977,1977,3,3,4,3,677.0,1055.0,1,1055,1055,2,2,1,3,0,2.0,440.0,3,3,1,2008,31,378,31,12,378.0,148500
1,10800,1,5,7,1939,2006,3,4,3,3,676.0,676.0,1,676,1352,2,4,1,4,0,2.0,720.0,3,3,1,2009,70,420,3,9,0.0,149000
1,2349,1,6,5,1977,1977,3,3,4,3,466.0,855.0,1,855,1456,2,3,1,3,1,2.0,440.0,3,3,1,2009,32,270,32,12,389.0,137900
1,10846,1,8,5,1993,1993,4,3,4,3,100.0,1719.0,1,1719,1719,1,1,1,4,2,2.0,473.0,3,3,1,2008,15,480,15,12,1619.0,324000
2,1680,1,6,5,1973,1973,3,3,3,3,25.0,483.0,1,483,987,1,2,1,3,0,1.0,264.0,3,3,1,2008,35,270,35,9,458.0,103400
1,4590,1,8,5,2006,2006,4,3,4,4,1530.0,1554.0,1,1554,1554,2,2,1,4,1,2.0,627.0,3,3,1,2007,1,480,1,16,24.0,209500
1,18062,1,10,5,2006,2006,5,3,5,3,1528.0,1528.0,1,1528,3390,3,5,1,5,1,3.0,758.0,3,3,1,2006,0,750,0,15,0.0,545224
1,19138,1,4,5,1951,1951,3,3,3,3,744.0,864.0,1,864,864,1,2,1,3,0,2.0,400.0,3,3,1,2010,59,180,59,9,120.0,141000
1,8658,1,6,5,2000,2000,3,3,4,3,250.0,982.0,1,1008,1889,2,3,1,3,1,2.0,431.0,3,3,1,2006,6,270,6,12,732.0,215000
1,6897,1,5,8,1962,2010,3,4,3,3,381.0,1040.0,1,1040,1040,1,3,1,3,0,1.0,260.0,3,3,1,2010,48,480,0,9,659.0,127000
1,9525,1,5,7,1954,1998,3,3,3,3,218.0,1172.0,1,1172,1172,1,3,1,3,0,1.0,366.0,3,3,1,2010,56,315,12,9,954.0,128000
3,12853,1,8,5,2010,2010,4,3,5,1,610.0,1642.0,1,1418,1418,1,1,1,4,1,3.0,852.0,3,3,1,2010,0,480,0,5,1032.0,267916
2,6240,1,6,6,1931,1950,3,3,3,2,459.0,884.0,1,959,1367,1,3,1,3,1,1.0,560.0,3,3,1,2007,76,324,57,6,425.0,127500
1,12090,1,6,6,1981,1981,3,4,4,3,606.0,1422.0,1,1422,1422,2,3,1,4,1,2.0,576.0,3,3,1,2008,27,432,27,12,816.0,175500
1,8826,1,7,5,2000,2000,4,3,4,3,144.0,985.0,1,985,1842,2,3,1,4,1,2.0,486.0,3,3,1,2007,7,420,7,12,841.0,217500
2,8094,1,4,5,1915,1950,3,2,3,3,888.0,888.0,1,888,1962,1,4,1,3,1,2.0,572.0,3,3,1,2010,95,120,60,9,0.0,149500
1,10710,1,5,7,1966,2004,4,3,3,3,220.0,864.0,1,1120,1120,1,3,1,3,1,2.0,656.0,3,3,1,2009,43,420,5,9,644.0,148800
1,16056,1,9,5,2005,2006,4,3,5,3,1752.0,1992.0,1,1992,2868,3,4,1,5,1,3.0,716.0,3,3,1,2006,1,540,0,15,240.0,556581
1,8400,1,6,3,1957,1957,3,3,3,3,628.0,1478.0,1,1478,1478,1,3,1,3,2,2.0,442.0,3,3,1,2009,52,162,52,9,850.0,156500
1,11250,1,7,5,1995,1996,4,4,4,4,245.0,930.0,1,950,1995,2,4,1,4,1,2.0,610.0,3,3,1,2006,11,560,10,16,685.0,237000
1,7535,1,5,7,1958,1985,3,3,3,3,522.0,912.0,1,912,912,1,2,1,3,0,1.0,297.0,3,3,1,2007,49,315,22,9,390.0,120000
1,12216,1,6,5,2005,2005,3,3,4,3,408.0,1326.0,1,1326,1326,2,3,1,4,0,2.0,388.0,3,3,1,2007,2,270,2,12,918.0,203000
1,3701,1,8,5,1987,1987,3,3,4,3,1191.0,1191.0,1,1204,1204,2,2,1,3,0,2.0,461.0,3,3,1,2006,19,360,19,12,0.0,130000
1,9760,1,6,6,1964,1964,3,3,3,3,0.0,780.0,1,798,1611,1,4,1,3,0,2.0,442.0,3,3,1,2008,44,324,44,9,780.0,167900
1,9873,4,4,5,1970,1970,3,3,3,3,171.0,960.0,0,960,960,1,3,1,3,0,2.0,576.0,3,3,1,2006,36,180,36,9,789.0,129000
1,10011,1,5,6,1957,1996,3,3,3,3,710.0,1070.0,1,1236,1236,1,2,1,4,1,1.0,447.0,3,3,1,2006,49,270,10,9,360.0,134450
1,25339,1,5,7,1918,2007,3,4,3,3,816.0,816.0,1,1416,1416,2,3,1,4,0,2.0,576.0,3,3,0,2007,89,420,0,9,0.0,112000
1,8883,1,7,5,1988,1988,4,3,4,3,0.0,929.0,1,946,1873,2,3,1,4,1,2.0,619.0,3,3,1,2007,19,420,19,12,929.0,207000
1,2448,1,7,5,2003,2004,4,3,4,3,191.0,764.0,1,764,1626,2,2,1,4,0,2.0,474.0,3,3,1,2008,5,420,4,12,573.0,154000
1,7100,1,5,7,1957,1957,3,3,3,3,108.0,816.0,1,816,816,1,2,1,3,0,1.0,308.0,3,3,1,2006,49,315,49,9,708.0,129900
2,2592,1,5,3,1976,1976,3,3,4,3,175.0,536.0,1,536,1112,1,3,1,3,0,1.0,336.0,3,3,1,2010,34,135,34,12,361.0,85000
2,5700,1,7,7,1926,1950,3,3,3,3,572.0,572.0,1,572,1111,1,2,1,3,1,1.0,288.0,3,3,1,2008,82,441,58,9,0.0,116900
1,2289,1,6,6,1978,1978,3,3,3,3,544.0,855.0,1,855,1441,2,3,1,3,1,2.0,440.0,3,3,1,2009,31,324,31,9,311.0,148500
1,12180,1,4,4,1941,1950,3,2,4,3,324.0,672.0,0,672,924,1,2,1,2,0,1.0,280.0,3,3,1,2010,69,96,60,12,348.0,80000
1,7400,1,5,5,1984,1984,3,3,4,3,0.0,1060.0,1,1126,1126,1,2,1,3,0,2.0,506.0,3,3,1,2008,24,225,24,12,1060.0,152000
1,8842,1,5,6,1954,1954,3,4,2,3,381.0,381.0,1,992,992,1,3,1,3,0,1.0,319.0,3,3,1,2010,56,360,56,6,0.0,155891
1,8850,1,6,7,1920,1950,3,4,3,3,768.0,768.0,1,752,1376,1,3,1,4,0,2.0,576.0,3,3,2,2007,87,504,57,9,0.0,165000
3,9215,1,7,5,2009,2010,4,3,4,3,1218.0,1218.0,1,1218,1218,2,2,1,4,0,2.0,676.0,3,3,1,2010,1,420,0,12,0.0,204500
1,9480,3,5,7,1942,1995,3,3,3,3,342.0,728.0,1,888,1644,1,3,1,4,2,1.0,312.0,3,3,1,2007,65,315,12,9,386.0,146500
1,11880,4,7,5,1978,1978,3,3,4,3,567.0,1271.0,1,1601,1601,2,3,1,3,1,2.0,478.0,3,3,1,2009,31,315,31,12,704.0,157000
2,10800,1,7,7,1890,1999,3,3,3,3,1313.0,1313.0,1,1313,2495,2,5,1,3,1,2.0,342.0,3,2,1,2008,118,441,9,9,0.0,184000
1,7861,1,6,5,2002,2003,4,3,4,3,326.0,783.0,1,807,1509,2,3,1,4,1,2.0,393.0,3,3,1,2006,4,360,3,12,457.0,183200
1,11616,1,5,5,1962,1962,3,3,3,3,252.0,1092.0,1,1092,1092,1,3,1,3,1,1.0,288.0,3,3,1,2009,47,225,47,9,840.0,139000
